Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Bryan Rust,30,PIT,RW,81,20,26,46,-4,31,3.8,18,2,0,2,16,9,1,211,9.5,1450,50,98,1255,1137,52.5,1.1,941,841,52.8,1.4,8.5,90,98.5,66.2,33.8,37,58,10.8,364,58,5125000
Brandon Saad,30,STL,LW,71,19,18,37,-8,12,3.1,15,2,2,1,15,2,1,127,15,1183,31,24,846,965,46.7,1.6,637,728,46.7,1.4,9.9,90.8,100.7,44.7,55.3,34,26,-2,198,64.1,4500000
Conor Sheary,30,WSH,LW,82,15,22,37,9,22,3.4,11,2,2,1,17,5,0,154,9.7,1293,39,57,1052,1141,48,-2.5,795,835,48.8,-1.2,9.7,92.2,101.9,57.9,42.1,48,34,-0.6,259,59.5,1500000
Jakob Silfverberg,32,ANA,LW,81,10,16,26,-20,32,0.7,6,4,0,2,13,3,0,141,7.1,1230,51,10,643,977,39.7,-4,490,738,39.9,-2.6,8.5,90.9,99.4,29.6,70.4,28,19,-19.7,230,61.3,5250000
Wayne Simmonds,34,TOR,RW,18,0,2,2,1,49,0,0,0,0,0,2,0,0,9,0,134,7,44,109,122,47.2,-5.6,77,85,47.5,-5.4,8.3,95.2,103.5,57.4,42.6,3,0,-1.9,20,45,900000
Jeff Skinner,30,BUF,LW,79,35,47,82,15,29,9.3,27,8,0,3,34,13,0,242,14.5,1374,14,21,1228,1037,54.2,4.1,930,837,52.6,3.3,12.9,89.2,102,63.9,36.1,41,46,-1.2,433,55.9,9000000
Cole Smith,27,NSH,F,69,4,13,17,-3,60,0.6,4,0,0,1,11,0,2,64,6.3,879,25,198,587,691,45.9,-3.6,430,496,46.4,-2.4,7.6,92.1,99.7,32.7,67.3,29,15,-8,118,54.2,750000
Givani Smith,24,TOT,RW,36,1,3,4,-2,72,-0.1,1,0,0,0,3,0,0,30,3.3,252,8,67,249,241,50.8,-0.7,177,178,49.9,-0.9,5.4,93.1,98.5,51.9,48.1,6,6,-4.5,60,50,750000
Reilly Smith,31,VEG,RW,78,26,30,56,11,16,6.1,16,6,4,4,26,4,0,180,14.4,1324,32,69,1073,1006,51.6,4.4,799,725,52.4,4.5,10.4,89.5,99.8,53.5,46.5,30,38,10.4,311,57.9,5000000
Daniel Sprong,25,SEA,RW,66,21,25,46,13,14,5.5,15,6,0,3,17,8,0,147,14.3,754,17,33,606,496,55,3.4,472,360,56.7,4.7,12.3,90.4,102.8,57.2,42.8,21,21,8.6,280,52.5,750000
Mark Stone,30,VEG,RW,43,17,21,38,11,10,4.3,12,3,2,1,15,6,0,113,15,833,23,31,711,607,53.9,6.2,518,416,55.5,6.7,10.3,90.3,100.5,53.5,46.5,47,22,8.5,190,59.5,9500000
Tim Stützle,21,OTT,LW,78,39,51,90,-3,54,10,26,10,3,3,33,18,0,228,17.1,1659,49,114,1441,1144,55.7,6.2,1080,863,55.6,5.1,10.5,87.8,98.2,58.8,41.2,61,62,11.7,442,51.6,925000
Pius Suter,26,DET,F,79,14,10,24,-3,6,1.8,12,0,2,1,10,0,0,106,13.2,1111,37,39,747,894,45.5,-0.9,551,625,46.9,0,8.5,90.7,99.2,46,54,31,15,0.2,178,59.6,3250000
Evgeny Svechnikov,26,SJS,LW,59,8,6,14,-6,26,0.9,8,0,0,0,6,0,0,64,12.5,634,21,100,533,586,47.6,-2,391,444,46.8,-2.5,9.6,90.4,100,43.9,56.1,24,21,-7,122,52.5,750000
Brandon Tanev,31,SEA,LW,82,16,19,35,21,44,3.5,15,0,1,3,19,0,0,115,13.9,1166,68,190,817,829,49.6,-3.5,624,574,52.1,-1.2,12.3,91.5,103.8,49.5,50.5,33,24,5,192,59.9,3500000
Vladimir Tarasenko,31,TOT,RW,69,18,32,50,-14,8,4.1,14,3,1,1,21,11,0,169,10.7,1159,36,75,839,997,45.7,-1.5,638,765,45.5,-2.4,11.2,88.2,99.4,54.3,45.7,24,26,-9.2,303,55.8,3750000
Tomáš Tatar,32,NJD,LW,82,20,28,48,41,30,5.9,19,1,0,1,25,3,0,153,13.1,1240,30,65,1216,905,57.3,4.2,919,663,58.1,4.8,10.8,93.6,104.4,52.8,47.2,35,35,20.7,276,55.4,4500000
Teuvo Teräväinen,28,CAR,F,68,12,25,37,11,16,3.5,5,5,2,2,18,6,1,144,8.3,1150,18,15,847,670,55.8,-5.2,647,515,55.7,-4.4,9.4,90.9,100.3,58.5,41.5,36,49,3.6,235,61.3,5400000
Owen Tippett,23,PHI,RW,77,27,22,49,-17,16,4.7,19,8,0,4,18,4,0,231,11.7,1342,69,125,1081,1114,49.2,2.2,809,801,50.2,1.8,10.1,87.2,97.4,53.6,46.4,44,25,4.7,414,55.8,1500000
Brady Tkachuk,23,OTT,LW,82,35,48,83,-10,126,8.9,24,11,0,6,30,18,0,347,10.1,1528,9,242,1413,1068,57,7.8,1062,815,56.6,6.5,10,87.1,97.1,58.9,41.1,30,51,14.6,559,62.1,8205714
Matthew Tkachuk,25,FLA,LW,79,40,69,109,29,123,12.3,26,14,0,6,46,22,1,322,12.4,1614,31,68,1647,1044,61.2,10.4,1243,827,60,10,11.4,88.1,99.6,58.9,41.1,38,62,28.8,537,60.1,9500000
Eeli Tolvanen,23,TOT,RW,61,18,13,31,8,14,3.4,14,4,0,4,10,3,0,116,15.5,886,51,91,730,650,52.9,1.7,548,468,53.9,2.3,11.7,89.2,100.9,51.1,48.9,20,12,2,218,53.2,1450000
Alexey Toropchenko,23,STL,RW,69,10,9,19,6,12,1.6,9,0,1,0,9,0,0,86,11.6,833,46,122,536,694,43.6,-3,406,491,45.3,-0.9,9.7,92.9,102.6,42.6,57.4,18,23,-2.9,129,66.7,750000
Alex Tuch,26,BUF,RW,74,36,43,79,14,20,9,27,8,1,9,31,12,0,218,16.5,1417,46,54,1143,987,53.7,3.6,875,773,53.1,4.1,12.3,88.7,101.1,59.5,40.5,64,38,0.9,363,60.1,4750000
James van Riemsdyk,33,PHI,LW,61,12,17,29,-3,28,2.4,10,2,0,1,15,2,0,119,10.1,937,20,18,797,727,52.3,6.2,598,530,53,5.5,9.7,89.8,99.5,57.2,42.8,24,10,5,197,60.4,7000000
Frank Vatrano,28,ANA,LW,81,22,19,41,-29,66,2.7,17,5,0,1,15,4,0,231,9.5,1351,75,86,955,1328,41.8,-1.2,717,1024,41.2,-0.9,8.5,90.7,99.2,43,57,21,34,-34.5,354,65.3,3650000
Jimmy Vesey,29,NYR,LW,81,11,14,25,13,20,2.1,10,0,1,4,14,0,0,123,8.9,1102,40,98,923,883,51.1,1.5,701,638,52.4,2.6,9.4,92.7,102,50.5,49.5,56,29,2.3,206,59.7,750000
Jakub Vrána,26,TOT,LW,25,11,5,16,3,10,2.1,7,4,0,2,5,0,0,63,17.5,364,6,14,262,332,44.1,-1.8,208,261,44.3,-2.3,11.3,94.1,105.4,50.3,49.7,9,9,-3.3,107,58.9,2625000
Austin Watson,31,OTT,LW,75,9,2,11,-7,123,0.5,6,0,3,2,2,0,0,79,11.4,767,61,165,507,597,45.9,-6.6,372,412,47.4,-5.3,5.2,91.2,96.4,26.1,73.9,19,21,-4.4,139,56.8,1500000
Blake Wheeler,36,WPG,RW,72,16,39,55,-3,46,4.8,9,7,0,6,31,8,0,126,12.7,1227,35,54,1041,888,54,2.4,766,690,52.6,1,10.2,89.7,100,60.5,39.5,45,27,0.8,254,49.6,8250000
Tom Wilson,28,WSH,RW,33,13,9,22,-13,78,2,9,4,0,1,8,1,0,82,15.9,581,30,97,450,468,49,0,331,349,48.7,-0.1,11.2,84.9,96,62.2,37.8,13,10,-1.9,141,58.2,5166667
Miles Wood,27,NJD,LW,76,13,14,27,1,76,2.3,11,2,0,2,13,1,0,167,7.8,920,19,100,863,844,50.6,-4.8,608,600,50.3,-5.4,8,92.7,100.7,41.5,58.5,16,33,-1.8,276,60.5,3200000
Kailer Yamamoto,24,EDM,RW,58,10,15,25,12,24,1.9,9,0,1,3,14,0,1,97,10.3,962,24,77,805,721,52.8,0.4,603,558,51.9,0.2,8.9,92.2,101.1,52.2,47.8,45,17,0.7,138,70.3,3100000
Filip Zadina,23,DET,RW,30,3,4,7,-5,10,0.2,3,0,0,2,4,0,0,51,5.9,393,15,22,308,335,47.9,4.4,248,232,51.7,8.6,4.5,93.4,97.9,50,50,16,14,3.8,82,62.2,1825000
Fabian Zetterlund,23,TOT,W,67,6,17,23,-6,14,1.1,5,1,0,1,15,2,0,118,5.1,888,20,53,832,788,51.4,0.1,604,592,50.5,-1.1,7.8,90.7,98.5,49.2,50.8,21,23,-0.7,223,52.9,750000
Mats Zuccarello,35,MIN,LW,78,22,45,67,-3,26,6.2,13,9,0,3,25,20,0,198,11.1,1575,51,51,1292,1145,53,4.8,952,833,53.3,4.5,8.6,90.3,98.9,64.9,35.1,45,44,4.8,381,52,6000000
Jason Zucker,31,PIT,LW,78,27,21,48,-4,47,5,25,2,0,5,14,7,0,197,13.7,1221,29,197,1190,974,55,4.1,914,745,55.1,4.3,8.3,89.5,97.8,68.9,31.1,35,39,12.9,338,58.3,5500000
