Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Chandler Stephenson,28,VEG,C,81,16,49,65,12,26,5.6,9,6,1,5,38,9,2,120,13.3,1540,56,74,675,487,58.1,1191,1280,48.2,0,867,885,49.5,0.5,10.2,91,101.2,50.8,49.2,64,30,4.8,203,59.1,2750000
Dylan Strome,25,WSH,C,81,23,42,65,-4,24,6.3,20,3,0,2,24,18,0,154,14.9,1352,43,20,528,554,48.8,1146,1094,51.2,2.2,853,832,50.6,1.7,10.5,89.2,99.7,66.6,33.4,45,42,4.4,275,56,3500000
Ryan Strome,29,ANA,C,82,15,26,41,-30,79,1.9,14,1,0,2,23,3,0,130,11.5,1397,24,29,402,516,43.8,1045,1370,43.3,0.6,797,1088,42.3,0.5,9.9,89.4,99.3,54.2,45.8,29,48,-29.6,206,63.1,5000000
Jack Studnicka,23,TOT,C,48,4,4,8,-12,16,-0.2,4,0,0,1,4,0,0,65,6.2,509,19,61,77,84,47.8,343,448,43.4,-5.4,247,345,41.7,-7.4,4.4,91.7,96,38.8,61.2,17,6,-6.5,108,60.2,762500
Jack Studnicka,23,TOT,C,48,4,4,8,-12,16,-0.2,4,0,0,1,4,0,0,65,6.2,509,19,61,77,84,47.8,339,442,43.4,-5.2,243,340,41.7,-7.3,4.5,92,96.5,39.5,60.5,17,6,-6.6,108,60.2,762500
Nico Sturm,27,SJS,C,74,14,12,26,-13,23,1.7,13,0,1,1,12,0,0,119,11.8,1090,45,100,491,389,55.8,762,887,46.2,-3.3,583,649,47.3,-1.3,9.3,88.6,97.9,36.4,63.6,40,19,-4.5,194,61.9,2000000
Oskar Sundqvist,28,TOT,C,67,10,18,28,-4,28,2.1,7,3,0,0,13,5,0,69,14.5,929,28,63,27,36,42.9,591,719,45.1,-1.6,435,514,45.8,-1.2,10.9,90.1,101,51.6,48.4,17,20,-5,125,55.2,2750000
Nick Suzuki,23,MTL,C,82,26,40,66,-13,33,5.4,16,7,3,2,30,10,0,162,16,1730,56,50,663,738,47.3,1150,1299,47,1.9,843,950,47,2,11.8,87.6,99.4,51.9,48.1,42,52,-11.3,294,55.1,7875000
John Tavares,32,TOR,C,80,36,44,80,-7,34,8.5,18,18,0,9,23,21,0,277,13,1413,36,112,726,519,58.3,1087,1033,51.3,0.8,807,764,51.4,-0.4,10,88.6,98.6,55.5,44.5,46,54,14.5,464,59.7,11000000
Troy Terry,25,ANA,C,70,23,38,61,-8,22,5.5,18,5,0,3,31,7,0,188,12.2,1356,23,12,2,0,100,1070,1107,49.2,7.9,792,875,47.5,7,11.4,89.9,101.3,57.5,42.5,43,27,-11.1,352,53.4,1450000
Robert Thomas,23,STL,C,73,18,47,65,-8,22,5.2,12,5,1,2,30,17,0,106,17,1412,29,15,646,575,52.9,982,1065,48,3,748,828,47.5,1.9,12.8,86.9,99.8,55.3,44.7,67,40,-8.3,175,60.6,2800000
Tage Thompson,25,BUF,C,78,47,47,94,4,39,11.1,26,20,1,7,33,14,0,295,15.9,1450,26,55,350,463,43.1,1240,1073,53.6,3.4,943,855,52.4,3.3,11.5,89,100.4,63.8,36.2,43,40,0.2,542,54.4,1400000
Chris Tierney,28,TOT,C,36,3,7,10,-8,6,0.3,3,0,0,0,6,0,1,19,15.8,391,21,15,111,125,47,246,340,42,-7.1,186,243,43.4,-5.9,11.3,86.3,97.6,44.3,55.7,13,11,-8.8,36,52.8,750000
